Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2018-12-25,345.77
2018-12-26,342.59
2018-12-27,320.68
2018-12-28,356.74
2018-12-31,335.42
2019-01-01,344
2019-01-02,361.43
2019-01-03,351.42
2019-01-04,352.93
2019-01-07,368.34
2019-01-08,368.36
2019-01-09,368.94
2019-01-10,328.67
2019-01-11,329.59
2019-01-14,331.58
2019-01-15,319.2
2019-01-16,323.73
2019-01-17,327.17
2019-01-18,323.98
2019-01-21,317.93
2019-01-22,323.81
2019-01-23,318.55
2019-01-24,321.82
2019-01-25,319.29
2019-01-28,300.41
2019-01-29,299.35
2019-01-30,306.79
2019-01-31,303.99
2019-02-01,306.21
2019-02-04,303.9
2019-02-05,303.74
2019-02-06,297.16
2019-02-07,297.78
2019-02-08,325.48
2019-02-11,324.24
2019-02-12,326.82
2019-02-13,321.56
2019-02-14,321.08
2019-02-15,321.72
2019-02-18,355.66
2019-02-19,362.96
2019-02-20,364.44
2019-02-21,357.42
2019-02-22,363.1
2019-02-25,350.23
2019-02-26,347.03
2019-02-27,337.98
2019-02-28,347.95
2019-03-01,352.26
2019-03-04,336.15
2019-03-05,352.94
2019-03-06,354.17
2019-03-07,358
2019-03-08,359.56
2019-03-11,353.46
2019-03-12,356.8
2019-03-13,356.82
2019-03-14,357.27
2019-03-15,364.83
2019-03-18,368.86
2019-03-19,371.95
2019-03-20,373.16
2019-03-21,367.36
2019-03-22,370.82
2019-03-25,362.48
2019-03-26,363.81
2019-03-27,376.54
2019-03-28,376.57
2019-03-29,383.37
2019-04-01,388.01
2019-04-02,444.85
2019-04-03,489.91
2019-04-04,449.02
2019-04-05,473.15
2019-04-08,488.05
2019-04-09,487.53
2019-04-10,503.28
2019-04-11,464.39
2019-04-12,463.93
2019-04-15,457.9
2019-04-16,475.48
2019-04-17,478.35
2019-04-18,487.24
2019-04-19,486.99
2019-04-22,488.62
2019-04-23,497.94
2019-04-24,476.37
2019-04-25,482.5
2019-04-26,452.5
2019-04-29,454.38
2019-04-30,465.75
2019-05-01,470.25
2019-05-02,476.32
2019-05-03,500.16
2019-05-06,501.38
2019-05-07,504.02
2019-05-08,503.35
2019-05-09,507.74
2019-05-10,530
2019-05-13,639.23
2019-05-14,641.64
2019-05-15,695.22
2019-05-16,680.24
2019-05-17,614.72
2019-05-20,670.15
2019-05-21,690.28
2019-05-22,680.81
2019-05-23,661.4
2019-05-24,689.7
2019-05-27,754.46
2019-05-28,749.37
2019-05-29,754.35
2019-05-30,741.93
2019-05-31,727.26
2019-06-03,736.07
2019-06-04,651.9
2019-06-05,672.57
2019-06-06,654.68
2019-06-07,687.35
2019-06-10,689.34
2019-06-11,685.75
2019-06-12,707.85
2019-06-13,714.27
2019-06-14,716.23
2019-06-17,784.03
2019-06-18,761.9
2019-06-19,771.5
2019-06-20,791.72
2019-06-21,825.19
2019-06-24,890.87
2019-06-25,917.07
2019-06-26,1069.88
2019-06-27,857.03
2019-06-28,956.43
2019-07-01,820.42
2019-07-02,852.62
2019-07-03,884.35
2019-07-04,916.85
2019-07-05,871.7
2019-07-08,944.21
2019-07-09,952.11
2019-07-10,910
2019-07-11,871.7
2019-07-12,877.86
2019-07-15,804.23
2019-07-16,717.02
2019-07-17,727.44
2019-07-18,786.15
2019-07-19,775.29
2019-07-22,754.78
2019-07-23,759.91
2019-07-24,729.13
2019-07-25,739.82
2019-07-26,746.91
2019-07-29,713.13
2019-07-30,725.19
2019-07-31,749.73
2019-08-01,766.73
2019-08-02,772.03
2019-08-05,852.68
2019-08-06,841.88
2019-08-07,846.13
2019-08-08,827.98
2019-08-09,834.75
2019-08-12,818.35
2019-08-13,787.01
2019-08-14,725.39
2019-08-15,723.83
2019-08-16,748.13
2019-08-19,765.63
2019-08-20,764.87
2019-08-21,723.93
2019-08-22,732.79
2019-08-23,748.61
2019-08-26,736.92
2019-08-27,727.62
2019-08-28,686.97
2019-08-29,676.27
2019-08-30,681.66
2019-09-02,720.02
2019-09-03,747.28
2019-09-04,748.66
2019-09-05,733.52
2019-09-06,722.28
2019-09-09,728.82
2019-09-10,708.57
2019-09-11,710.58
2019-09-12,725.52
2019-09-13,718.81
2019-09-16,720.26
2019-09-17,742.14
2019-09-18,742.67
2019-09-19,747.29
2019-09-20,737.98
2019-09-23,710.16
2019-09-24,611.8
2019-09-25,599.56
2019-09-26,583.42
2019-09-27,577.13
2019-09-30,599.99
2019-10-01,600.41
2019-10-02,599.47
2019-10-03,589.9
2019-10-04,596.89
2019-10-07,603.63
2019-10-08,599.25
2019-10-09,631.56
2019-10-10,627.55
2019-10-11,607.96
2019-10-14,614.15
2019-10-15,599.7
2019-10-16,583.05
2019-10-17,593.1
2019-10-18,585.12
2019-10-21,599.75
2019-10-22,597.3
2019-10-23,549.12
2019-10-24,552.42
2019-10-25,629.37
2019-10-28,679.35
2019-10-29,671.99
2019-10-30,668.34
2019-10-31,669.49
2019-11-01,665.05
2019-11-04,687.31
2019-11-05,683.4
2019-11-06,680.16
2019-11-07,670.46
2019-11-08,645.61
2019-11-11,643.24
2019-11-12,647.85
2019-11-13,646.06
2019-11-14,638.39
2019-11-15,623.54
2019-11-18,604.13
2019-11-19,595.91
2019-11-20,593.92
2019-11-21,555.7
2019-11-22,536.19
2019-11-25,521.07
2019-11-26,520.6
2019-11-27,549.74
2019-11-28,551.47
2019-11-29,562.4
2019-12-02,530.48
2019-12-03,531.45
2019-12-04,524.93
2019-12-05,535.28
2019-12-06,538.4
2019-12-09,528.6
2019-12-10,521.49
2019-12-11,518.85
